0.01 0.01 0.000004 -0.000004 0.000006
0.01 0.01 0.000017 -0.000009 0.000019
0.03 0.01 0.000035 -0.000009 0.000036
0.04 0.01 0.000050 -0.000007 0.000051
0.04 0.01 0.000059 -0.000002 0.000059
0.06 0.01 0.000059 0.000003 0.000059
0.07 0.01 0.000048 0.000008 0.000048
0.07 0.01 0.000026 0.000014 0.000029
0.09 0.01 -0.000007 0.000019 0.000020
0.10 0.01 -0.000050 0.000024 0.000055
0.10 0.01 -0.000103 0.000029 0.000106
0.12 0.01 -0.000164 0.000033 0.000168
0.12 0.01 -0.000234 0.000037 0.000237
0.14 0.01 -0.000312 0.000041 0.000315
0.14 0.01 -0.000397 0.000044 0.000399
0.15 0.01 -0.000487 0.000047 0.000490
0.17 0.01 -0.000583 0.000049 0.000585
0.18 0.01 -0.000684 0.000051 0.000686
0.18 0.01 -0.000789 0.000053 0.000790
0.20 0.01 -0.000897 0.000055 0.000898
0.21 0.01 -0.001008 0.000056 0.001009
0.21 0.01 -0.001121 0.000057 0.001122
0.23 0.01 -0.001236 0.000058 0.001237
0.24 0.01 -0.001352 0.000058 0.001353
0.24 0.01 -0.001469 0.000059 0.001470
0.26 0.01 -0.001586 0.000059 0.001587
0.27 0.01 -0.001703 0.000058 0.001704
0.28 0.01 -0.001819 0.000058 0.001820
0.29 0.01 -0.001935 0.000058 0.001936
0.29 0.01 -0.002049 0.000057 0.002050
0.30 0.01 -0.002162 0.000056 0.002163
0.32 0.01 -0.002272 0.000055 0.002273
0.33 0.01 -0.002381 0.000053 0.002381
0.34 0.01 -0.002486 0.000052 0.002487
0.35 0.01 -0.002588 0.000050 0.002589
0.35 0.01 -0.002687 0.000048 0.002687
0.36 0.01 -0.002782 0.000046 0.002782
0.38 0.01 -0.002872 0.000044 0.002873
0.39 0.01 -0.002958 0.000042 0.002959
0.40 0.01 -0.003039 0.000039 0.003040
0.41 0.01 -0.003115 0.000036 0.003115
0.42 0.01 -0.003185 0.000034 0.003185
0.42 0.01 -0.003249 0.000030 0.003249
0.43 0.01 -0.003307 0.000027 0.003307
0.45 0.01 -0.003357 0.000024 0.003358
0.46 0.01 -0.003401 0.000020 0.003401
0.47 0.01 -0.003438 0.000016 0.003438
0.48 0.01 -0.003467 0.000013 0.003467
0.48 0.01 -0.003488 0.000008 0.003488
0.49 0.01 -0.003501 0.000004 0.003501
0.51 0.01 -0.003505 0.000000 0.003505
0.52 0.01 -0.003501 -0.000004 0.003501
0.53 0.01 -0.003488 -0.000009 0.003488
0.54 0.01 -0.003467 -0.000013 0.003467
0.55 0.01 -0.003436 -0.000017 0.003436
