0.01 0.01 0.006422
0.01 0.01 0.006425
0.03 0.01 0.006397
0.04 0.01 0.006333
0.04 0.01 0.006239
0.06 0.01 0.006121
0.07 0.01 0.005984
0.07 0.01 0.005835
0.09 0.01 0.005678
0.10 0.01 0.005517
0.10 0.01 0.005357
0.12 0.01 0.005200
0.12 0.01 0.005048
0.14 0.01 0.004904
0.14 0.01 0.004769
0.15 0.01 0.004644
0.17 0.01 0.004531
0.18 0.01 0.004432
0.18 0.01 0.004346
0.20 0.01 0.004274
0.21 0.01 0.004218
0.21 0.01 0.004176
0.23 0.01 0.004149
0.24 0.01 0.004138
0.24 0.01 0.004141
0.26 0.01 0.004160
0.27 0.01 0.004195
0.28 0.01 0.004244
0.29 0.01 0.004310
0.29 0.01 0.004391
0.30 0.01 0.004487
0.32 0.01 0.004599
0.33 0.01 0.004727
0.34 0.01 0.004869
0.35 0.01 0.005027
0.35 0.01 0.005199
0.36 0.01 0.005386
0.38 0.01 0.005586
0.39 0.01 0.005801
0.40 0.01 0.006029
0.41 0.01 0.006270
0.42 0.01 0.006524
0.42 0.01 0.006790
0.43 0.01 0.007067
0.45 0.01 0.007355
0.46 0.01 0.007653
0.47 0.01 0.007959
0.48 0.01 0.008273
0.48 0.01 0.008594
0.49 0.01 0.008920
0.51 0.01 0.009250
0.52 0.01 0.009583
0.53 0.01 0.009918
0.54 0.01 0.010252
0.55 0.01 0.010584
0.56 0.01 0.010913
0.57 0.01 0.011237
0.58 0.01 0.011554
0.58 0.01 0.011863
0.59 0.01 0.012162
0.60 0.01 0.012449
0.61 0.01 0.012723
0.62 0.01 0.012982
0.64 0.01 0.013224
0.65 0.01 0.013449
0.66 0.01 0.013654
0.67 0.01 0.013839
0.68 0.01 0.014002
0.69 0.01 0.014143
0.70 0.01 0.014260
0.70 0.01 0.014353
0.71 0.01 0.014422
0.72 0.01 0.014466
0.73 0.01 0.014486
0.74 0.01 0.014481
0.76 0.01 0.014451
0.77 0.01 0.014399
0.78 0.01 0.014324
0.79 0.01 0.014228
0.80 0.01 0.014111
0.81 0.01 0.013976
0.82 0.01 0.013824
0.83 0.01 0.013658
0.83 0.01 0.013479
0.84 0.01 0.013290
0.85 0.01 0.013093
0.86 0.01 0.012892
0.88 0.01 0.012688
0.89 0.01 0.012487
0.90 0.01 0.012289
0.91 0.01 0.012100
0.92 0.01 0.011923
0.93 0.01 0.011762
0.94 0.01 0.011620
0.95 0.01 0.011501
0.96 0.01 0.011410
0.96 0.01 0.011348
0.97 0.01 0.011317
0.98 0.01 0.011315
0.99 0.01 0.011331

0.01 0.01 0.006419
0.01 0.01 0.006422
0.03 0.01 0.006394
0.04 0.01 0.006337
0.04 0.01 0.006254
0.06 0.01 0.006150
0.07 0.01 0.006030
0.07 0.01 0.005898
0.09 0.01 0.005758
0.10 0.01 0.005614
0.10 0.01 0.005469
0.12 0.01 0.005327
0.12 0.01 0.005189
0.14 0.01 0.005057
0.14 0.01 0.004933
0.15 0.01 0.004819
0.17 0.01 0.004715
0.18 0.01 0.004624
0.18 0.01 0.004545
0.20 0.01 0.004480
0.21 0.01 0.004428
0.21 0.01 0.004390
0.23 0.01 0.004366
0.24 0.01 0.004356
0.24 0.01 0.004360
0.26 0.01 0.004379
0.27 0.01 0.004413
0.28 0.01 0.004461
0.29 0.01 0.004524
0.29 0.01 0.004602
0.30 0.01 0.004695
0.32 0.01 0.004803
0.33 0.01 0.004926
0.34 0.01 0.005062
0.35 0.01 0.005213
0.35 0.01 0.005378
0.36 0.01 0.005557
0.38 0.01 0.005749
0.39 0.01 0.005954
0.40 0.01 0.006173
0.41 0.01 0.006404
0.42 0.01 0.006646
0.42 0.01 0.006901
0.43 0.01 0.007165
0.45 0.01 0.007440
0.46 0.01 0.007724
0.47 0.01 0.008017
0.48 0.01 0.008316
0.48 0.01 0.008622
0.49 0.01 0.008933
0.51 0.01 0.009248
0.52 0.01 0.009565
0.53 0.01 0.009883
0.54 0.01 0.010202
0.55 0.01 0.010518
0.56 0.01 0.010831
0.57 0.01 0.011139
0.58 0.01 0.011440
0.58 0.01 0.011734
0.59 0.01 0.012018
0.60 0.01 0.012291
0.61 0.01 0.012551
0.62 0.01 0.012797
0.64 0.01 0.013027
0.65 0.01 0.013240
0.66 0.01 0.013435
0.67 0.01 0.013611
0.68 0.01 0.013766
0.69 0.01 0.013900
0.70 0.01 0.014012
0.70 0.01 0.014101
0.71 0.01 0.014167
0.72 0.01 0.014211
0.73 0.01 0.014231
0.74 0.01 0.014228
0.76 0.01 0.014203
0.77 0.01 0.014155
0.78 0.01 0.014087
0.79 0.01 0.013999
0.80 0.01 0.013892
0.81 0.01 0.013768
0.82 0.01 0.013629
0.83 0.01 0.013476
0.83 0.01 0.013312
0.84 0.01 0.013138
0.85 0.01 0.012958
0.86 0.01 0.012773
0.88 0.01 0.012588
0.89 0.01 0.012404
0.90 0.01 0.012224
0.91 0.01 0.012052
0.92 0.01 0.011892
0.93 0.01 0.011745
0.94 0.01 0.011617
0.95 0.01 0.011510
0.96 0.01 0.011426
0.96 0.01 0.011368
0.97 0.01 0.011337
0.98 0.01 0.011331
0.99 0.01 0.011348

0.01 0.03 0.006447
0.01 0.03 0.006448
0.03 0.03 0.006420
0.04 0.03 0.006367
0.04 0.03 0.006291
0.06 0.03 0.006197
0.07 0.03 0.006088
0.07 0.03 0.005968
0.09 0.03 0.005842
0.10 0.03 0.005711
0.10 0.03 0.005579
0.12 0.03 0.005449
0.12 0.03 0.005322
0.14 0.03 0.005201
0.14 0.03 0.005088
