RANK 0: imaxLocal : 100, jmaxLocal : 100
Parameters:
Geometry data:
	Domain box size (x, y): 1.000000e+00, 1.000000e+00
	Cells (x, y): 100, 100
Iterative solver parameters:
	Max iterations: 1000000
	epsilon (stopping tolerance) : 1.000000e-06
	omega (SOR relaxation): 1.900000e+00
190 Residuum: 1.363731e+02
191 Residuum: 1.344462e+02
192 Residuum: 1.325453e+02
193 Residuum: 1.306701e+02
194 Residuum: 1.288203e+02
195 Residuum: 1.269955e+02
196 Residuum: 1.251955e+02
197 Residuum: 1.234199e+02
198 Residuum: 1.216685e+02
199 Residuum: 1.199410e+02
200 Residuum: 1.182371e+02
201 Residuum: 1.165564e+02
202 Residuum: 1.148987e+02
203 Residuum: 1.132638e+02
204 Residuum: 1.116512e+02
205 Residuum: 1.100609e+02
206 Residuum: 1.084923e+02
207 Residuum: 1.069454e+02
208 Residuum: 1.054198e+02
209 Residuum: 1.039153e+02
210 Residuum: 1.024315e+02
211 Residuum: 1.009682e+02
212 Residuum: 9.952525e+01
213 Residuum: 9.810225e+01
214 Residuum: 9.669900e+01
215 Residuum: 9.531523e+01
216 Residuum: 9.395070e+01
217 Residuum: 9.260516e+01
218 Residuum: 9.127835e+01
219 Residuum: 8.997005e+01
220 Residuum: 8.867999e+01
221 Residuum: 8.740796e+01
222 Residuum: 8.615370e+01
223 Residuum: 8.491699e+01
224 Residuum: 8.369760e+01
225 Residuum: 8.249530e+01
226 Residuum: 8.130986e+01
227 Residuum: 8.014106e+01
228 Residuum: 7.898867e+01
229 Residuum: 7.785249e+01
230 Residuum: 7.673229e+01
231 Residuum: 7.562786e+01
232 Residuum: 7.453900e+01
233 Residuum: 7.346548e+01
234 Residuum: 7.240711e+01
235 Residuum: 7.136368e+01
236 Residuum: 7.033500e+01
237 Residuum: 6.932085e+01
238 Residuum: 6.832105e+01
239 Residuum: 6.733541e+01
240 Residuum: 6.636372e+01
241 Residuum: 6.540580e+01
242 Residuum: 6.446147e+01
243 Residuum: 6.353054e+01
244 Residuum: 6.261282e+01
245 Residuum: 6.170814e+01
246 Residuum: 6.081632e+01
247 Residuum: 5.993717e+01
248 Residuum: 5.907054e+01
249 Residuum: 5.821624e+01
250 Residuum: 5.737411e+01
251 Residuum: 5.654398e+01
252 Residuum: 5.572568e+01
253 Residuum: 5.491905e+01
254 Residuum: 5.412393e+01
255 Residuum: 5.334017e+01
256 Residuum: 5.256760e+01
257 Residuum: 5.180606e+01
258 Residuum: 5.105541e+01
259 Residuum: 5.031550e+01
260 Residuum: 4.958617e+01
261 Residuum: 4.886728e+01
262 Residuum: 4.815869e+01
263 Residuum: 4.746024e+01
264 Residuum: 4.677180e+01
265 Residuum: 4.609323e+01
266 Residuum: 4.542439e+01
267 Residuum: 4.476515e+01
268 Residuum: 4.411536e+01
269 Residuum: 4.347491e+01
270 Residuum: 4.284365e+01
271 Residuum: 4.222146e+01
272 Residuum: 4.160821e+01
273 Residuum: 4.100377e+01
274 Residuum: 4.040803e+01
275 Residuum: 3.982085e+01
276 Residuum: 3.924213e+01
277 Residuum: 3.867173e+01
278 Residuum: 3.810954e+01
279 Residuum: 3.755545e+01
280 Residuum: 3.700934e+01
281 Residuum: 3.647110e+01
282 Residuum: 3.594062e+01
283 Residuum: 3.541779e+01
284 Residuum: 3.490249e+01
285 Residuum: 3.439463e+01
286 Residuum: 3.389410e+01
287 Residuum: 3.340079e+01
288 Residuum: 3.291460e+01
289 Residuum: 3.243543e+01
290 Residuum: 3.196318e+01
291 Residuum: 3.149775e+01
292 Residuum: 3.103905e+01
293 Residuum: 3.058698e+01
294 Residuum: 3.014144e+01
295 Residuum: 2.970234e+01
296 Residuum: 2.926960e+01
297 Residuum: 2.884311e+01
298 Residuum: 2.842280e+01
299 Residuum: 2.800856e+01
300 Residuum: 2.760033e+01
301 Residuum: 2.719800e+01
302 Residuum: 2.680150e+01
303 Residuum: 2.641074e+01
304 Residuum: 2.602564e+01
305 Residuum: 2.564611e+01
306 Residuum: 2.527209e+01
307 Residuum: 2.490349e+01
308 Residuum: 2.454024e+01
309 Residuum: 2.418224e+01
310 Residuum: 2.382944e+01
311 Residuum: 2.348176e+01
312 Residuum: 2.313912e+01
313 Residuum: 2.280145e+01
314 Residuum: 2.246868e+01
315 Residuum: 2.214074e+01
316 Residuum: 2.181756e+01
317 Residuum: 2.149907e+01
318 Residuum: 2.118521e+01
319 Residuum: 2.087590e+01
320 Residuum: 2.057108e+01
321 Residuum: 2.027070e+01
322 Residuum: 1.997467e+01
323 Residuum: 1.968295e+01
324 Residuum: 1.939547e+01
325 Residuum: 1.911216e+01
326 Residuum: 1.883298e+01
327 Residuum: 1.855785e+01
328 Residuum: 1.828672e+01
329 Residuum: 1.801953e+01
330 Residuum: 1.775623e+01
331 Residuum: 1.749676e+01
332 Residuum: 1.724107e+01
333 Residuum: 1.698909e+01
334 Residuum: 1.674078e+01
335 Residuum: 1.649608e+01
336 Residuum: 1.625495e+01
337 Residuum: 1.601732e+01
338 Residuum: 1.578315e+01
339 Residuum: 1.555240e+01
340 Residuum: 1.532500e+01
341 Residuum: 1.510091e+01
342 Residuum: 1.488009e+01
343 Residuum: 1.466248e+01
344 Residuum: 1.444804e+01
345 Residuum: 1.423673e+01
346 Residuum: 1.402849e+01
347 Residuum: 1.382329e+01
348 Residuum: 1.362108e+01
349 Residuum: 1.342182e+01
350 Residuum: 1.322546e+01
351 Residuum: 1.303196e+01
352 Residuum: 1.284128e+01
353 Residuum: 1.265339e+01
354 Residuum: 1.246823e+01
355 Residuum: 1.228577e+01
356 Residuum: 1.210597e+01
357 Residuum: 1.192880e+01
358 Residuum: 1.175421e+01
359 Residuum: 1.158216e+01
360 Residuum: 1.141263e+01
361 Residuum: 1.124557e+01
362 Residuum: 1.108095e+01
363 Residuum: 1.091872e+01
364 Residuum: 1.075887e+01
365 Residuum: 1.060135e+01
366 Residuum: 1.044613e+01
367 Residuum: 1.029317e+01
368 Residuum: 1.014245e+01
369 Residuum: 9.993922e+00
370 Residuum: 9.847567e+00
371 Residuum: 9.703348e+00
372 Residuum: 9.561235e+00
373 Residuum: 9.421198e+00
374 Residuum: 9.283205e+00
375 Residuum: 9.147228e+00
376 Residuum: 9.013237e+00
377 Residuum: 8.881203e+00
378 Residuum: 8.751098e+00
379 Residuum: 8.622893e+00
380 Residuum: 8.496561e+00
381 Residuum: 8.372075e+00
382 Residuum: 8.249408e+00
383 Residuum: 8.128534e+00
384 Residuum: 8.009426e+00
385 Residuum: 7.892058e+00
386 Residuum: 7.776406e+00
387 Residuum: 7.662445e+00
388 Residuum: 7.550149e+00
389 Residuum: 7.439494e+00
390 Residuum: 7.330458e+00
391 Residuum: 7.223015e+00
392 Residuum: 7.117143e+00
393 Residuum: 7.012819e+00
394 Residuum: 6.910021e+00
395 Residuum: 6.808726e+00
396 Residuum: 6.708912e+00
397 Residuum: 6.610558e+00
398 Residuum: 6.513642e+00
399 Residuum: 6.418144e+00
400 Residuum: 6.324043e+00
401 Residuum: 6.231319e+00
402 Residuum: 6.139950e+00
403 Residuum: 6.049919e+00
404 Residuum: 5.961204e+00
405 Residuum: 5.873788e+00
406 Residuum: 5.787651e+00
407 Residuum: 5.702774e+00
408 Residuum: 5.619139e+00
409 Residuum: 5.536728e+00
410 Residuum: 5.455523e+00
411 Residuum: 5.375507e+00
412 Residuum: 5.296661e+00
413 Residuum: 5.218970e+00
414 Residuum: 5.142416e+00
415 Residuum: 5.066983e+00
416 Residuum: 4.992653e+00
417 Residuum: 4.919412e+00
418 Residuum: 4.847244e+00
419 Residuum: 4.776132e+00
420 Residuum: 4.706061e+00
421 Residuum: 4.637016e+00
422 Residuum: 4.568982e+00
423 Residuum: 4.501944e+00
424 Residuum: 4.435888e+00
425 Residuum: 4.370800e+00
426 Residuum: 4.306664e+00
427 Residuum: 4.243469e+00
428 Residuum: 4.181198e+00
429 Residuum: 4.119840e+00
430 Residuum: 4.059380e+00
431 Residuum: 3.999807e+00
432 Residuum: 3.941106e+00
433 Residuum: 3.883264e+00
434 Residuum: 3.826271e+00
435 Residuum: 3.770112e+00
436 Residuum: 3.714776e+00
437 Residuum: 3.660251e+00
438 Residuum: 3.606524e+00
439 Residuum: 3.553586e+00
440 Residuum: 3.501422e+00
441 Residuum: 3.450024e+00
442 Residuum: 3.399378e+00
443 Residuum: 3.349475e+00
444 Residuum: 3.300303e+00
445 Residuum: 3.251851e+00
446 Residuum: 3.204110e+00
447 Residuum: 3.157069e+00
448 Residuum: 3.110717e+00
449 Residuum: 3.065045e+00
450 Residuum: 3.020042e+00
451 Residuum: 2.975699e+00
452 Residuum: 2.932006e+00
453 Residuum: 2.888953e+00
454 Residuum: 2.846532e+00
455 Residuum: 2.804733e+00
456 Residuum: 2.763546e+00
457 Residuum: 2.722964e+00
458 Residuum: 2.682976e+00
459 Residuum: 2.643575e+00
460 Residuum: 2.604752e+00
461 Residuum: 2.566498e+00
462 Residuum: 2.528805e+00
463 Residuum: 2.491665e+00
464 Residuum: 2.455069e+00
465 Residuum: 2.419011e+00
466 Residuum: 2.383481e+00
467 Residuum: 2.348472e+00
468 Residuum: 2.313977e+00
469 Residuum: 2.279987e+00
470 Residuum: 2.246496e+00
471 Residuum: 2.213497e+00
472 Residuum: 2.180982e+00
473 Residuum: 2.148943e+00
474 Residuum: 2.117375e+00
475 Residuum: 2.086270e+00
476 Residuum: 2.055621e+00
477 Residuum: 2.025422e+00
478 Residuum: 1.995665e+00
479 Residuum: 1.966346e+00
480 Residuum: 1.937457e+00
481 Residuum: 1.908991e+00
482 Residuum: 1.880943e+00
483 Residuum: 1.853307e+00
484 Residuum: 1.826077e+00
485 Residuum: 1.799246e+00
486 Residuum: 1.772808e+00
487 Residuum: 1.746759e+00
488 Residuum: 1.721092e+00
489 Residuum: 1.695802e+00
490 Residuum: 1.670883e+00
491 Residuum: 1.646330e+00
492 Residuum: 1.622137e+00
493 Residuum: 1.598299e+00
494 Residuum: 1.574811e+00
495 Residuum: 1.551668e+00
496 Residuum: 1.528864e+00
497 Residuum: 1.506395e+00
498 Residuum: 1.484257e+00
499 Residuum: 1.462443e+00
500 Residuum: 1.440949e+00
501 Residuum: 1.419771e+00
502 Residuum: 1.398904e+00
503 Residuum: 1.378343e+00
504 Residuum: 1.358084e+00
505 Residuum: 1.338123e+00
506 Residuum: 1.318454e+00
507 Residuum: 1.299075e+00
508 Residuum: 1.279980e+00
509 Residuum: 1.261165e+00
510 Residuum: 1.242626e+00
511 Residuum: 1.224360e+00
512 Residuum: 1.206362e+00
513 Residuum: 1.188629e+00
514 Residuum: 1.171156e+00
515 Residuum: 1.153939e+00
516 Residuum: 1.136975e+00
517 Residuum: 1.120260e+00
518 Residuum: 1.103791e+00
519 Residuum: 1.087564e+00
520 Residuum: 1.071575e+00
521 Residuum: 1.055821e+00
522 Residuum: 1.040298e+00
523 Residuum: 1.025004e+00
524 Residuum: 1.009933e+00
525 Residuum: 9.950848e-01
526 Residuum: 9.804542e-01
527 Residuum: 9.660385e-01
528 Residuum: 9.518346e-01
529 Residuum: 9.378393e-01
530 Residuum: 9.240496e-01
531 Residuum: 9.104625e-01
532 Residuum: 8.970750e-01
533 Residuum: 8.838842e-01
534 Residuum: 8.708872e-01
535 Residuum: 8.580811e-01
536 Residuum: 8.454632e-01
537 Residuum: 8.330306e-01
538 Residuum: 8.207807e-01
539 Residuum: 8.087108e-01
540 Residuum: 7.968182e-01
541 Residuum: 7.851004e-01
542 Residuum: 7.735548e-01
543 Residuum: 7.621788e-01
544 Residuum: 7.509699e-01
545 Residuum: 7.399258e-01
546 Residuum: 7.290439e-01
547 Residuum: 7.183220e-01
548 Residuum: 7.077576e-01
549 Residuum: 6.973485e-01
550 Residuum: 6.870923e-01
551 Residuum: 6.769868e-01
552 Residuum: 6.670299e-01
553 Residuum: 6.572193e-01
554 Residuum: 6.475529e-01
555 Residuum: 6.380285e-01
556 Residuum: 6.286441e-01
557 Residuum: 6.193977e-01
558 Residuum: 6.102871e-01
559 Residuum: 6.013105e-01
560 Residuum: 5.924658e-01
561 Residuum: 5.837510e-01
562 Residuum: 5.751644e-01
563 Residuum: 5.667040e-01
564 Residuum: 5.583680e-01
565 Residuum: 5.501544e-01
566 Residuum: 5.420617e-01
567 Residuum: 5.340878e-01
568 Residuum: 5.262312e-01
569 Residuum: 5.184901e-01
570 Residuum: 5.108628e-01
571 Residuum: 5.033476e-01
572 Residuum: 4.959429e-01
573 Residuum: 4.886470e-01
574 Residuum: 4.814584e-01
